iter	Passed	Remaining
0	48	48030
1	98	49114
2	147	49067
3	198	49400
4	267	53134
5	315	52213
6	362	51404
7	410	50869
8	459	50562
9	507	50268
10	557	50097
11	606	49959
12	654	49662
13	701	49396
14	749	49223
15	798	49097
16	845	48916
17	892	48716
18	940	48563
19	989	48489
20	1037	48348
21	1084	48224
22	1134	48174
23	1195	48613
24	1259	49104
25	1307	48970
26	1359	48986
27	1409	48935
28	1457	48809
29	1519	49142
30	1569	49050
31	1619	48991
32	1668	48889
33	1718	48835
34	1771	48835
35	1822	48799
36	1873	48761
37	1922	48670
38	1971	48589
39	2021	48512
40	2071	48457
41	2120	48372
42	2170	48300
43	2218	48204
44	2271	48216
45	2319	48114
46	2369	48048
47	2422	48054
48	2472	47988
49	2527	48025
50	2580	48012
51	2636	48070
52	2693	48118
53	2750	48179
54	2800	48115
55	2857	48173
56	2912	48182
57	2962	48117
58	3014	48082
59	3066	48038
60	3121	48055
61	3173	48012
62	3225	47967
63	3275	47901
64	3333	47951
65	3384	47895
66	3434	47827
67	3486	47791
68	3537	47736
69	3588	47678
70	3638	47613
71	3689	47555
72	3739	47480
73	3794	47484
74	3847	47458
75	3897	47386
76	3948	47325
77	4002	47307
78	4053	47261
79	4102	47178
80	4149	47076
81	4201	47035
82	4252	46979
83	4302	46914
84	4356	46900
85	4405	46824
86	4457	46779
87	4508	46726
88	4560	46675
89	4609	46603
90	4657	46522
91	4714	46532
92	4762	46442
93	4812	46384
94	4862	46319
95	4911	46248
96	4959	46170
97	5010	46118
98	5059	46045
99	5106	45958
100	5157	45909
101	5208	45859
102	5257	45785
103	5308	45738
104	5361	45698
105	5410	45627
106	5459	45562
107	5508	45499
108	5560	45449
109	5609	45387
110	5660	45334
111	5709	45267
112	5758	45198
113	5807	45133
114	5857	45076
115	5905	45005
116	5957	44963
117	6007	44903
118	6054	44821
119	6101	44746
120	6149	44675
121	6199	44618
122	6249	44561
123	6298	44497
124	6346	44427
125	6393	44349
